Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	1	0	0
02-05-2020	1	0	0
02-06-2020	1	0	0
02-07-2020	1	0	0
02-08-2020	1	0	0
02-09-2020	1	0	0
02-10-2020	1	0	0
02-11-2020	1	0	0
02-12-2020	1	0	0
02-13-2020	1	0	0
02-14-2020	1	0	0
02-15-2020	1	0	0
02-16-2020	1	0	0
02-17-2020	1	0	1
02-18-2020	1	0	1
02-19-2020	1	0	1
02-20-2020	1	0	1
02-21-2020	1	0	1
02-22-2020	1	0	1
02-23-2020	1	0	1
02-24-2020	1	0	1
02-25-2020	1	0	1
02-26-2020	1	0	1
02-27-2020	1	0	1
02-28-2020	1	0	1
02-29-2020	1	0	1
03-01-2020	2	0	1
03-02-2020	8	0	1
03-03-2020	13	0	1
03-04-2020	23	0	1
03-05-2020	50	0	1
03-06-2020	109	0	1
03-07-2020	169	0	1
03-08-2020	200	0	1
03-09-2020	239	0	1
03-10-2020	267	0	1
03-11-2020	314	3	1
03-12-2020	314	3	1
03-13-2020	559	3	1
03-14-2020	689	4	1
03-15-2020	886	4	1
03-16-2020	1058	5	1
03-17-2020	1243	10	1
03-18-2020	1486	14	31
03-19-2020	1795	21	31
03-20-2020	2257	37	1
03-21-2020	2815	67	263
03-22-2020	3401	75	263
03-23-2020	3743	88	401
03-24-2020	4269	122	461
03-25-2020	4937	178	547
03-26-2020	6235	220	675
03-27-2020	7284	289	858
03-28-2020	9134	353	1063
03-29-2020	10836	431	1359
03-30-2020	11899	513	1527
04-01-2020	13964	828	2132
04-02-2020	15348	1011	2495
04-03-2020	16770	1143	2872
04-04-2020	18431	1283	3247
04-05-2020	19691	1447	3751
04-06-2020	20814	1632	3986
04-07-2020	22194	2035	4157
